title_list,view,upload_date,comment,likes_num,unlikes_num
가을에 안 먹으면 섭섭해! 싱싱한 제철 대하로 만든 푸짐한 새우 요리 3가지,"조회수 3,307회",2020. 9. 22.,댓글 17개,좋아요 28개,싫어요 없음
달고나 커피 시즌 2?! 400번 붙여 만드는 꿀잼 취미 보석십자수 리뷰,"조회수 17,826회",2020. 9. 16.,댓글 54개,좋아요 111개,싫어요 2개
"[2020 쇼핑으로널리이롭게하다] 11번가, 우리의 쇼핑이 누군가의 희망이 되도록","조회수 1,944,102회",2020. 9. 13.,댓글 119개,좋아요 395개,싫어요 46개
[2020 쇼핑으로 널리 이롭게 하다] 11번가 베스트 셀러 이야기,"조회수 1,952,714회",2020. 9. 13.,댓글 35개,좋아요 200개,싫어요 62개
기능만 28가지? 어린이들의 사과폰 2020 NEW 시크릿쥬쥬 셀카폰 리뷰,"조회수 17,712회",2020. 9. 10.,댓글 24개,좋아요 49개,싫어요 9개
“퇴사하고 싶은데 어떡하죠?” 싱잉볼 사운드 들으며 힐링하기! (구독자 고민 QnA),"조회수 17,093회",2020. 8. 31.,댓글 33개,좋아요 47개,싫어요 5개
신발 안 말라서 짜증 나는 사람? 신발 건조기로 젖은 신발 말리기,조회수 409회,2020. 8. 27.,댓글 2개,좋아요 16개,싫어요 없음
"초.간.단 미니밤호박 맛있게 먹는 3가지 요리법! 밤호박 꿀조림, 밤호박 스프, 밤호박 에그슬럿 만들기","조회수 22,123회",2020. 8. 24.,댓글 23개,좋아요 115개,싫어요 2개
"패션 MD가 직접 알려주는 2030 가성비 남자 코디 5만원대 vs 10만원대! 기본템 추천, 깔맞춤 꿀팁까지 다 알려줌","조회수 13,530회",2020. 8. 18.,댓글 28개,좋아요 78개,싫어요 1개
깔끔하게 수박 자르는 법! 수박칼로 수박을 썰어보았다,"조회수 3,165회",2020. 8. 14.,댓글 13개,좋아요 38개,싫어요 1개
비오는 날 이 정도는 돼야 인싸지! 이색 우산 9종 리뷰,"조회수 21,122회",2020. 8. 6.,댓글 61개,좋아요 97개,싫어요 1개
"[#2020 쇼핑으로널리이롭게하다] 11번가, 강우규 의사를 기억하다","조회수 5,949,915회",2020. 7. 31.,댓글 174개,좋아요 766개,싫어요 39개
"[#2020 쇼핑으로널리이롭게하다] 11번가, 정태진 선생을 기억하다","조회수 4,843,464회",2020. 7. 31.,댓글 134개,좋아요 587개,싫어요 38개
사람들은 뭐 사다가 먹었을까? 내돈내산 고객 후기로 보는 7월 11번가 간편식 BEST 5!,"조회수 13,645회",2020. 7. 30.,댓글 17개,좋아요 58개,싫어요 15개
대충 만들어도 예쁨 주의! 한 알에 천원 #샤인머스켓 으로 3가지 디저트 만들기 FLEX!,"조회수 19,327회",2020. 7. 21.,댓글 101개,좋아요 154개,싫어요 3개
"직장인 외출 준비할 때 보면 딱 좋은 7가지 코디 | 출근룩, 마실룩, 데이트룩 누구나 쉽게 따라 할 수 있어요.","조회수 15,515회",2020. 7. 10.,댓글 25개,좋아요 66개,싫어요 1개
집에서 연어 맛있게 먹는 비법! 연매출 수십억 11번가 연어 1등 사장님이 알려드립니다!,"조회수 18,593회",2020. 7. 8.,댓글 39개,좋아요 33개,싫어요 1개
토종닭으로 만든 닭갈비 맛은 어떨까? 캠핑장에서 닭갈비 만들어 먹기 ASMR,"조회수 41,024회",2020. 6. 25.,댓글 18개,좋아요 77개,싫어요 3개
와플팬 그게 뭔데?! 크로플 만들다 분식 삼대장 김떡순 눌러본 썰!,"조회수 51,710회",2020. 6. 17.,댓글 25개,좋아요 51개,싫어요 없음
천엽 맨손으로 만져본 사람? 경력 합 29년 신선식품 전문 MD들의 특수부위 (맨손) 첫 만남,"조회수 46,632회",2020. 6. 17.,댓글 21개,좋아요 45개,싫어요 1개
3천 원에 이걸 다 준다고?! 11번가 월간십일절 럭키박스 언박싱,"조회수 12,407회",2020. 6. 4.,댓글 22개,좋아요 66개,싫어요 7개
힐링 취미 찾으시는 분? 나비보벳따우 칼림바 연주&리뷰,"조회수 66,938회",2020. 5. 28.,댓글 26개,좋아요 93개,싫어요 5개
5월에도 감귤을?! 청정 제주 감귤과 레몬으로 달콤상콤 에이드 만들기 ASMR,"조회수 41,367회",2020. 5. 20.,댓글 22개,좋아요 90개,싫어요 없음
2020년 3월 월간십일절 COMING SOON,조회수 758회,2020. 3. 7.,댓글 0개,좋아요 18개,싫어요 없음
2019 SNS 11초톡(드로잉캔디),"조회수 3,165회",2020. 1. 22.,댓글 2개,좋아요 36개,싫어요 7개
2019 SNS 모두의 리뷰(한국인만 먹는 음식),조회수 213회,2020. 1. 22.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(라이트펜),조회수 576회,2020. 1. 20.,댓글 0개,좋아요 7개,싫어요 1개
2019 SNS 11초톡(포춘아이),"조회수 1,435회",2020. 1. 15.,댓글 1개,좋아요 18개,싫어요 4개
2019 SNS 11초톡(DIY 풍선껌만들기),조회수 831회,2020. 1. 12.,댓글 1개,좋아요 11개,싫어요 1개
2019 SNS 11초톡(DIY슬라임),조회수 167회,2020. 1. 7.,댓글 0개,좋아요 1개,싫어요 없음
2019 SNS 11초톡(착시공룡),조회수 733회,2020. 1. 2.,댓글 0개,좋아요 8개,싫어요 2개
2019 SNS 브랜드 제휴(천안오션파크),조회수 133회,2020. 1. 2.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 모두의 리뷰 (이색과일),조회수 243회,2019. 12. 30.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(아이스크림 메이커),조회수 575회,2019. 12. 30.,댓글 0개,좋아요 8개,싫어요 없음
2019 SNS 11초톡(스피너 스마트링),조회수 403회,2019. 12. 30.,댓글 0개,좋아요 5개,싫어요 3개
2019 SNS 브랜드(쓸데있는 리뷰 콘테스트),조회수 64회,2019. 12. 30.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(만능필통),"조회수 3,817회",2019. 12. 30.,댓글 6개,좋아요 87개,싫어요 7개
2019 SNS 11초톡(버블크랩),조회수 667회,2019. 12. 30.,댓글 0개,좋아요 12개,싫어요 3개
2019 SNS 브랜드 제휴(휠라 퀵스 뮬),조회수 85회,2019. 12. 30.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 브랜드제휴 (JBLTUNE120 ),조회수 73회,2019. 12. 26.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 모두의 리뷰 (이색선풍기모음),조회수 91회,2019. 12. 26.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 브랜드제휴 (얼굴없는언니),조회수 107회,2019. 12. 26.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(플로랄폼),조회수 694회,2019. 12. 26.,댓글 0개,좋아요 12개,싫어요 2개
2019 SNS 브랜드제휴 (뷰티천재),조회수 45회,2019. 12. 26.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 취존취저 (물냉VS비냉),조회수 829회,2019. 12. 26.,댓글 8개,좋아요 24개,싫어요 2개
2019 SNS 브랜드 제휴(휠라),조회수 39회,2019. 12. 26.,댓글 0개,좋아요 없음,싫어요 없음
[11번가 희망쇼핑] 2019_오해를 넘어 이해로,"조회수 11,277회",2019. 12. 25.,댓글 6개,좋아요 106개,싫어요 2개
2019 SNS 11초톡(여드름 짜기 장난감),"조회수 1,967회",2019. 12. 17.,댓글 1개,좋아요 10개,싫어요 2개
2019 SNS 모두의 리뷰(호신용품),조회수 151회,2019. 12. 17.,댓글 0개,좋아요 1개,싫어요 없음
2019 SNS 11초톡(스파이더맨 웹슈터),"조회수 1,331회",2019. 12. 17.,댓글 1개,좋아요 10개,싫어요 1개
2019 SNS 11초톡(동물비눗방울),조회수 239회,2019. 12. 17.,댓글 0개,좋아요 4개,싫어요 없음
2019 SNS 브랜드 제휴(SK스토아),조회수 77회,2019. 12. 17.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡 (봉숭아 물들이기),조회수 213회,2019. 12. 12.,댓글 0개,좋아요 5개,싫어요 1개
2019 SNS 취존취저 (선스크린VS선스틱),조회수 84회,2019. 12. 12.,댓글 0개,좋아요 1개,싫어요 없음
2019 SNS 신선한밤(킹타이거새우튀김),조회수 132회,2019. 12. 12.,댓글 0개,좋아요 1개,싫어요 없음
2019 SNS 브랜드제휴 (예능11번가 엄브로 범피 슬라이드),조회수 115회,2019. 12. 12.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 모두의 리뷰(저주파 마사지기),조회수 88회,2019. 12. 12.,댓글 0개,좋아요 2개,싫어요 없음
2019 SNS 브랜드제휴 (서울랜드),조회수 137회,2019. 12. 6.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡 (보석발굴 장난감 리뷰),조회수 346회,2019. 12. 6.,댓글 0개,좋아요 4개,싫어요 1개
2019 SNS 11초톡 (회오리저금통 중독짤),조회수 362회,2019. 12. 6.,댓글 0개,좋아요 2개,싫어요 없음
2019 SNS 취존취저 (데싱디바 리뷰),조회수 169회,2019. 12. 6.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 모두의 리뷰(보드게임),조회수 56회,2019. 12. 3.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 신선한밤(거봉젤리),조회수 72회,2019. 12. 3.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(촉촉이 모래),조회수 78회,2019. 12. 3.,NaN,좋아요 2개,싫어요 없음
2019 SNS 11초톡(낚시놀이 장난감),"조회수 1,697회",2019. 12. 3.,댓글 0개,좋아요 31개,싫어요 10개
2019 SNS 11초톡(폰버드 청소기),조회수 92회,2019. 12. 3.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(팔찌 메이커),조회수 345회,2019. 12. 3.,댓글 2개,좋아요 1개,싫어요 2개
2019 SNS 11초톡(미니언즈 위크),조회수 77회,2019. 12. 3.,댓글 0개,좋아요 1개,싫어요 없음
2019 SNS 신선한밤(캐릭터 도시락),조회수 103회,2019. 12. 3.,댓글 0개,좋아요 5개,싫어요 1개
2019 SNS 11초톡(계란말이 세트),"조회수 5,143회",2019. 12. 3.,댓글 1개,좋아요 44개,싫어요 7개
2019 SNS 11초톡(베스밤 만들기),조회수 525회,2019. 12. 3.,댓글 1개,좋아요 15개,싫어요 2개
2019 SNS 신선한밤(식빵팝콘),조회수 41회,2019. 12. 3.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 11초톡(달고나 만들기 세트),"조회수 2,647회",2019. 12. 3.,댓글 0개,좋아요 93개,싫어요 7개
2019 SNS 11초톡(클레이 헤어드레서),"조회수 1,525회",2019. 12. 3.,댓글 0개,좋아요 9개,싫어요 1개
2019 SNS 신선한밤(빨간어묵),조회수 55회,2019. 12. 1.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 신선한밤(크래미 유부초밥),조회수 24회,2019. 12. 1.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 모두의 리뷰(탭볼),조회수 168회,2019. 12. 1.,댓글 0개,좋아요 없음,싫어요 없음
2019 SNS 브랜드(2019 F/W 서울 패션위크),조회수 50회,2019. 12. 1.,댓글 0개,좋아요 없음,싫어요 없음
