title_list,view,upload_date,comment,likes_num,unlikes_num
#우리는 #차박홀릭,조회수 832회,2020. 9. 25.,댓글 11개,NaN,NaN
#우리는 #치어리더스,조회수 463회,2020. 9. 25.,댓글 7개,NaN,NaN
#우리는 #벽카소,조회수 296회,2020. 9. 25.,댓글 5개,NaN,NaN
#우리는 #4드론러시,조회수 674회,2020. 9. 25.,댓글 10개,NaN,NaN
#우리는 #다트나이트,"조회수 1,203회",2020. 9. 25.,댓글 29개,NaN,NaN
#우리는 #나이스투미트,조회수 585회,2020. 9. 25.,댓글 5개,NaN,NaN
[부딪쳐라 더 짜릿하게] 소모임편 (EXO-SC/30s),"조회수 17,487회",2020. 9. 17.,댓글 286개,NaN,NaN
[부딪쳐라 더 짜릿하게] 소모임편 (EXO-SC/30s),"조회수 10,603회",2020. 9. 17.,댓글 157개,NaN,NaN
[부딪쳐라 더 짜릿하게] 소모임편 (EXO-SC/15s),"조회수 1,053,888회",2020. 9. 17.,댓글 405개,NaN,NaN
[부딪쳐라 더 짜릿하게] 소모임편 (EXO-SC/15s),"조회수 1,656,972회",2020. 9. 17.,댓글 147개,NaN,NaN
[부딪쳐라 더 짜릿하게] 소모임편 (EXO-SC/15s),"조회수 1,706,601회",2020. 9. 17.,댓글 321개,NaN,NaN
[카.톸.방] 하얀트리의 카~~~톸 하이라이트!,조회수 639회,2020. 9. 16.,댓글 2개,NaN,NaN
"[카.톸.방] #파뿌리, #하얀트리 안주빌런들의 카스 안주 월드컵 (feat.역전할머니)","조회수 1,230,025회",2020. 9. 10.,댓글 313개,NaN,NaN
[카.톸.방] 안주빌런들의 거침없는 카~~토크!,"조회수 2,129회",2020. 9. 2.,댓글 6개,NaN,NaN
[CBP CONNECT 2.0] Making Film,"조회수 44,772회",2020. 7. 29.,댓글 166개,NaN,NaN
[2020 CASS SUMMER] 부딪쳐라 더 짜릿하게! 촬영 비하인드 신 (EXO-SC /60s),"조회수 47,902회",2020. 7. 22.,댓글 465개,NaN,NaN
[CBP CONNECT 2.0] 아티스트 소개영상_EXO-SC,"조회수 32,532회",2020. 7. 16.,댓글 239개,NaN,NaN
[CBP CONNECT 2.0] 아티스트 소개영상_RED VELVET,"조회수 8,799회",2020. 7. 16.,댓글 17개,NaN,NaN
[CBP CONNECT 2.0] 아티스트 소개영상_1MILLION,"조회수 6,685회",2020. 7. 16.,댓글 15개,NaN,NaN
