title_list,view,upload_date,comment,likes_num,unlikes_num
진로 CF : 초깔끔한 아는형들 TV CF 촬영현장 메이킹 & 비하인드 필름,조회수 223회,2020. 9. 25.,댓글 1개,좋아요 15개,싫어요 1개
[맥주안주] 마라파스타 레시피,조회수 197회,2020. 9. 25.,댓글 0개,좋아요 5개,싫어요 없음
[맥주안주] 단호박해물떡찜 레시피,조회수 151회,2020. 9. 25.,댓글 0개,좋아요 10개,싫어요 1개
[맥주안주] 레몬마요새우 레시피,조회수 125회,2020. 9. 25.,댓글 0개,좋아요 6개,싫어요 없음
"독일 No.1 프리미엄 밀맥주, 파울라너 (15"")","조회수 825,365회",2020. 9. 17.,댓글 45개,좋아요 99개,싫어요 11개
청정케어 테라 생맥주(30”),"조회수 2,768,314회",2020. 9. 17.,댓글 27개,좋아요 165개,싫어요 39개
"진로 CF : 초깔끔한 아는형들_껍나깔끔 편 (6"")","조회수 2,812회",2020. 9. 16.,댓글 9개,좋아요 67개,싫어요 11개
"진로 CF : 초깔끔한 아는형들 (30"")","조회수 4,045회",2020. 9. 16.,댓글 27개,좋아요 133개,싫어요 7개
"진로 CF : 초깔끔한 아는형들 (15"")","조회수 2,771회",2020. 9. 16.,댓글 3개,좋아요 82개,싫어요 3개
"진로 CF : 초깔끔한 아는형들_쏴~하아~ 편 (6"")","조회수 2,749회",2020. 9. 16.,댓글 4개,좋아요 52개,싫어요 3개
"진로 CF : 초깔끔한 아는형들_두꺼두꺼 편 (6"")","조회수 2,514회",2020. 9. 16.,댓글 4개,좋아요 57개,싫어요 6개
"진로 CF : 초깔끔한 아는형들_삼행시 강호동 편 (6"")","조회수 1,728회",2020. 9. 16.,댓글 4개,좋아요 25개,싫어요 4개
"진로 CF : 초깔끔한 아는형들_삼행시 이수근 편 (6"")","조회수 2,169회",2020. 9. 16.,댓글 2개,좋아요 18개,싫어요 1개
"진로 CF : 초깔끔한 아는형들_삼행시 김희철 편 (6"")","조회수 2,469회",2020. 9. 16.,댓글 5개,좋아요 91개,싫어요 2개
"진로 CF : 초깔끔한 아는형들_포스터 강호동 편 (6"")","조회수 5,186회",2020. 9. 16.,댓글 4개,좋아요 54개,싫어요 3개
"진로 CF : 초깔끔한 아는형들_포스터 이수근 편 (6"")","조회수 4,404회",2020. 9. 16.,댓글 3개,좋아요 55개,싫어요 6개
"진로 CF : 초깔끔한 아는형들_포스터 김희철 편 (6"")","조회수 5,389회",2020. 9. 16.,댓글 10개,좋아요 140개,싫어요 5개
참이슬 X 진로토닉워터 Making Film,"조회수 2,030회",2020. 9. 9.,댓글 13개,좋아요 37개,싫어요 38개
"청정라거-테라 TERRA CF: 청정빅뱅편(30"")","조회수 2,557,821회",2020. 9. 9.,댓글 20개,좋아요 468개,싫어요 133개
"청정라거-테라 TERRA CF: 청정빅뱅편(15"")","조회수 2,422,503회",2020. 9. 9.,댓글 9개,좋아요 537개,싫어요 275개
진로 x 깡 : 두꺼비 vs 비 B cut,"조회수 5,013회",2020. 9. 4.,댓글 9개,좋아요 143개,싫어요 11개
진로 x 깡 : 깡있게 솔직한 인터뷰,"조회수 1,639회",2020. 9. 4.,댓글 8개,좋아요 51개,싫어요 4개
"진로 X 깡 CF : 두꺼비효과 (15"")","조회수 4,515,636회",2020. 8. 20.,댓글 193개,좋아요 966개,싫어요 113개
"진로 X 깡 CF : 깡있는소주(15"")","조회수 4,551,251회",2020. 8. 20.,댓글 425개,"좋아요 1,379개",싫어요 114개
소토닉과 리아킴의 역대급 MV : 참이슬 X 진로토닉워터 (Full ver.),"조회수 147,190회",2020. 8. 19.,댓글 896개,좋아요 735개,싫어요 823개
"소토닉과 리아킴의 역대급 MV : 참이슬 X 진로토닉워터 (20"")","조회수 11,944,196회",2020. 8. 19.,"댓글 1,285개","좋아요 1,689개","싫어요 2,408개"
"소토닉과 리아킴의 역대급 MV : 참이슬 X 진로토닉워터 (5"")","조회수 4,249회",2020. 8. 19.,댓글 5개,좋아요 31개,싫어요 66개
참이슬x아이유 - 지은이를 따라 깨끗하게 두 번 터치!,"조회수 109,268회",2020. 8. 14.,댓글 86개,"좋아요 2,485개",싫어요 69개
[맥주안주] 마카롱 멘보샤 레시피,"조회수 3,042회",2020. 7. 30.,댓글 1개,좋아요 58개,싫어요 5개
망고링고 망고가 자란다 편(5”),"조회수 42,965회",2020. 7. 28.,댓글 16개,좋아요 166개,싫어요 26개
망고링고 맵단 편(5”),"조회수 55,658회",2020. 7. 28.,댓글 23개,좋아요 123개,싫어요 32개
망고링고 맵단 편(15”),"조회수 12,594,799회",2020. 7. 28.,댓글 63개,"좋아요 1,006개",싫어요 110개
망고링고 첫만남 편(15”),"조회수 6,151,408회",2020. 7. 28.,댓글 39개,좋아요 837개,싫어요 80개
"청정라거-테라 TERRA CF: 청정빅뱅편(6"")","조회수 86,448회",2020. 7. 27.,댓글 1개,좋아요 131개,싫어요 19개
"청정라거-테라 TERRA CF: 청정빅뱅편(30"")","조회수 6,872,422회",2020. 7. 24.,댓글 52개,"좋아요 7,484개",싫어요 796개
"청정라거-테라 TERRA CF: 청정빅뱅편(15"")","조회수 16,866,549회",2020. 7. 24.,댓글 6개,"좋아요 6,625개",싫어요 22개
[맥주안주] 초계국수 레시피,"조회수 2,727회",2020. 7. 23.,댓글 0개,좋아요 49개,싫어요 1개
필라이트 후레쉬 NEW TV광고(15”),"조회수 54,978회",2020. 7. 9.,댓글 93개,좋아요 201개,싫어요 226개
[맥주안주] 얼큰수제비 레시피,"조회수 2,939회",2020. 7. 2.,댓글 0개,좋아요 31개,싫어요 3개
[맥주안주] 관자버터구이 레시피,"조회수 2,754회",2020. 7. 2.,댓글 0개,좋아요 32개,싫어요 4개
[맥주안주] 철판감자소시지 레시피,"조회수 1,870회",2020. 7. 2.,댓글 1개,좋아요 33개,싫어요 4개
[맥주안주] 블루밍어니언 레시피,"조회수 6,538회",2020. 5. 20.,댓글 1개,좋아요 81개,싫어요 12개
참이슬x아이유 - 빛나는 스무 살의 당신에게,"조회수 23,771회",2020. 5. 18.,댓글 59개,"좋아요 1,429개",싫어요 37개
청정라거-테라 TERRA CF : 청정폭풍 편(6”),"조회수 64,459회",2020. 5. 15.,댓글 7개,좋아요 155개,싫어요 41개
"소주의 원조, 진로 CF : 서핑 편 (15"")","조회수 26,127,814회",2020. 4. 29.,댓글 317개,"좋아요 4,244개",싫어요 473개
"소주의 원조, 진로 CF : 서핑 편 (6"")","조회수 48,169회",2020. 4. 29.,댓글 4개,"좋아요 3,453개",싫어요 21개
"소주의 원조, 진로 CF : 서핑 편 (6"")","조회수 66,595회",2020. 4. 29.,댓글 4개,"좋아요 3,548개",싫어요 36개
[맥주안주] 편의점 필.요.해 #오징어간짬뽕,"조회수 2,278회",2020. 4. 29.,댓글 2개,좋아요 27개,싫어요 1개
청정라거-테라 TERRA CF : 청정폭풍 편(15”),"조회수 35,475,404회",2020. 4. 29.,댓글 14개,"좋아요 8,809개",싫어요 42개
청정라거-테라 TERRA CF : 청정폭풍 편(30”),"조회수 10,242,858회",2020. 4. 29.,댓글 194개,"좋아요 6,860개","싫어요 1,030개"
[맥주안주] 로제떡볶이 레시피,"조회수 1,602회",2020. 4. 23.,댓글 1개,좋아요 27개,싫어요 1개
참이슬x아이유 - 이슬같은 인터뷰,"조회수 97,164회",2020. 4. 21.,댓글 231개,"좋아요 4,634개",싫어요 59개
참이슬x아이유 - 촬영 현장 스케치,"조회수 143,121회",2020. 4. 17.,댓글 125개,"좋아요 2,709개",싫어요 128개
"참이슬 아이유 CF - 다음날이 걱정이라면 (6"")","조회수 57,466회",2020. 3. 26.,댓글 51개,"좋아요 4,504개",싫어요 24개
