title_list,view,upload_date,comment,likes_num,unlikes_num
물타지 않은 앰플_15초,"조회수 153,877회",2020. 9. 22.,댓글 0개,좋아요 없음,싫어요 없음
물타지 않은 앰플,"조회수 259,894회",2020. 9. 22.,댓글 0개,좋아요 4개,싫어요 없음
물타지 않은 앰플_6초,조회수 55회,2020. 9. 22.,댓글 0개,좋아요 없음,싫어요 없음
[비욘드] 트레일러너 오세진의 포레스토리,조회수 244회,2020. 9. 16.,댓글 0개,좋아요 9개,싫어요 없음
[테크 특유취] 각종 옷냄새의 비밀 - 테크 호르몬으로 인한 특유취 제거 세탁세제,조회수 290회,2020. 9. 13.,댓글 0개,좋아요 2개,싫어요 없음
[오휘] 더 퍼스트 제너츄어 심-마이크로 에센스,"조회수 350,759회",2020. 9. 8.,댓글 2개,좋아요 19개,싫어요 2개
[오휘] 프라임 어드밴서 앰플 세럼 타이드 리본 에디션,"조회수 368,937회",2020. 8. 30.,댓글 0개,좋아요 16개,싫어요 2개
베비언스 우리 아이 건강지킴! (킨더밀쉬홍삼&우리아이워터 유산균),조회수 573회,2020. 8. 27.,댓글 0개,좋아요 2개,싫어요 1개
[후] 예헌보,조회수 262회,2020. 8. 26.,댓글 0개,좋아요 3개,싫어요 없음
[후] 천기단,조회수 490회,2020. 8. 20.,댓글 0개,좋아요 7개,싫어요 없음
[후] 천기단 화현 일루미네이팅,조회수 468회,2020. 8. 20.,댓글 0개,좋아요 4개,싫어요 없음
[후] 공진향;미 벨벳 메이크업,조회수 214회,2020. 8. 19.,댓글 0개,좋아요 4개,싫어요 1개
[후] 천율단,조회수 264회,2020. 8. 19.,댓글 1개,좋아요 5개,싫어요 없음
190807 whoo kor 최종,조회수 253회,2020. 8. 17.,댓글 0개,좋아요 1개,싫어요 1개
#후 공진향미 럭셔리 립루즈,조회수 396회,2020. 8. 17.,댓글 1개,좋아요 5개,싫어요 없음
짜릿한 사이다에서 과일맛이 난다 Sunkist 과일사이다,"조회수 5,889,953회",2020. 7. 27.,"댓글 1,051개","좋아요 2,424개",싫어요 407개
[테크] 초강력 항균세탁으로 얼룩과 냄새까지 싹!_online,조회수 650회,2020. 6. 29.,댓글 1개,좋아요 7개,싫어요 1개
"[케어존] 중독성 끝판왕 ""일!이!삼! 3초 샤워세럼""","조회수 919,105회",2020. 6. 29.,댓글 0개,좋아요 18개,싫어요 1개
"[케어존] 중독성 끝판왕 ""일!이!삼! 3초 샤워세럼""","조회수 1,727회",2020. 6. 29.,댓글 2개,좋아요 25개,싫어요 1개
[NEW] 오휘 얼티밋 커버 스틱 파운데이션,"조회수 1,141회",2020. 6. 23.,댓글 0개,좋아요 11개,싫어요 없음
닥터그루트 마이크로바이옴 ★재구매율 1위★,"조회수 1,675회",2020. 6. 10.,댓글 4개,좋아요 77개,싫어요 없음
[케어존] 뷰튜버 쩡유 PICK! 아이스 쿨링 선스틱,"조회수 1,075회",2020. 6. 1.,댓글 2개,좋아요 6개,싫어요 없음
[후] 비첩 순환 에센스_Special Edition,조회수 543회,2020. 5. 28.,댓글 0개,좋아요 10개,싫어요 없음
[테크] 초강력 항균세탁으로 얼룩과 냄새까지 싹!,조회수 798회,2020. 5. 17.,댓글 1개,좋아요 5개,싫어요 1개
[테크] 초강력 항균세탁으로 얼룩과 냄새까지 싹!,조회수 739회,2020. 5. 17.,댓글 0개,좋아요 9개,싫어요 없음
[테크] 초강력 항균세탁으로 얼룩과 냄새까지 싹!,조회수 460회,2020. 5. 17.,댓글 0개,좋아요 5개,싫어요 2개
[테크] 초강력 항균세탁으로 얼룩과 냄새까지 싹!,"조회수 3,583회",2020. 5. 17.,댓글 0개,좋아요 9개,싫어요 3개
[LIMITED] 오휘 얼티밋 커버 쿠션 모이스처 플라워 가든 에디션,"조회수 1,733회",2020. 4. 29.,댓글 0개,좋아요 14개,싫어요 없음
NEW 오휘 더 퍼스트 제너츄어 심-마이크로 에센스,"조회수 775,915회",2020. 4. 27.,댓글 6개,좋아요 58개,싫어요 없음
"[숨37] ""처음부터 숨으로. 제대로"" 시크릿 에센스 & 숨마 에센스","조회수 573,699회",2020. 4. 8.,댓글 9개,NaN,NaN
[샤프란 아우라] 섬유유연제 향기의 비밀-미세플라스틱 향기캡슐 없는 샤프란 아우라,"조회수 1,984회",2020. 4. 8.,댓글 7개,좋아요 26개,싫어요 3개
