title_list,view,upload_date,comment,likes_num,unlikes_num
LG DIOS 식기세척기 - 100℃ 트루스팀으로 한 번에 편,"조회수 20,354회",2020. 9. 25.,댓글 0개,좋아요 24개,싫어요 1개
LG DIOS 김치톡톡 - 냉기 테크놀로지 편,조회수 934회,2020. 9. 25.,댓글 2개,좋아요 19개,싫어요 3개
LG WING - Q&A 편,"조회수 1,448회",2020. 9. 24.,댓글 22개,좋아요 45개,싫어요 3개
LG WING - 짐벌 모드 편,조회수 417회,2020. 9. 24.,댓글 1개,좋아요 26개,싫어요 없음
[일단클릭!] LG WING 77초 PR 편,"조회수 8,012회",2020. 9. 24.,댓글 12개,좋아요 51개,싫어요 1개
LG 코드제로 R9보이스 & M9 ThinQ - 로봇 배틀 티저 편,"조회수 66,065회",2020. 9. 23.,댓글 0개,좋아요 21개,싫어요 없음
LG WING - Road To YangYang (서프트립) 편,"조회수 2,506회",2020. 9. 22.,댓글 9개,좋아요 59개,싫어요 2개
LG 코드제로 R9보이스 & M9 ThinQ - 로봇 배틀 편,"조회수 2,298,351회",2020. 9. 22.,댓글 49개,좋아요 93개,싫어요 3개
LG WING - 기능 맛보기 편,"조회수 271,838회",2020. 9. 21.,댓글 11개,좋아요 38개,싫어요 2개
LG WING - YOUTUBE CONTROLLER 편,조회수 551회,2020. 9. 21.,댓글 2개,좋아요 11개,싫어요 없음
LG WING - VIDEO + MESSENGER 편,조회수 614회,2020. 9. 21.,댓글 6개,좋아요 21개,싫어요 없음
LG WING - GAME + MAP 편,조회수 600회,2020. 9. 21.,댓글 1개,좋아요 22개,싫어요 2개
LG WING - GPS + MUSIC 편,조회수 542회,2020. 9. 21.,댓글 2개,좋아요 16개,싫어요 없음
LG WING - LG WING이 필요한 순간 with 기유TV,"조회수 1,444회",2020. 9. 21.,댓글 18개,좋아요 122개,싫어요 5개
LG 올레드 갤러리TV - TV 선택의 기준 올레드 4S 편,조회수 605회,2020. 9. 20.,댓글 1개,좋아요 13개,싫어요 1개
LG 올레드 갤러리TV - 정확한 블랙이 만드는 선명한 화질(Sharp) 편,조회수 281회,2020. 9. 20.,댓글 0개,좋아요 6개,싫어요 1개
LG 올레드 갤러리TV - 더 생생한 현장감(Smooth) 편,조회수 191회,2020. 9. 20.,댓글 0개,좋아요 5개,싫어요 1개
LG 올레드 갤러리TV - 끊김없는 부드러움(Speedy) 편,조회수 268회,2020. 9. 20.,댓글 1개,좋아요 4개,싫어요 없음
LG 올레드 갤러리TV - 슬림한 디자인(Slim) 편,조회수 319회,2020. 9. 20.,댓글 0개,좋아요 13개,싫어요 1개
LG WING - 유세윤의 하루(Vlog) 편,"조회수 82,680회",2020. 9. 20.,댓글 20개,좋아요 120개,싫어요 3개
LG WHISEN ThinQ - 사회공헌 캠페인 #모두의바람으로 디지털 영상 편,"조회수 911,088회",2020. 9. 20.,댓글 14개,좋아요 48개,싫어요 1개
LG WHISEN - 달려라 하니와 함께 금성에어컨을 찾았습니다,"조회수 3,431회",2020. 9. 17.,댓글 38개,좋아요 91개,싫어요 1개
LG WING - Korean Englishman (영국남자) 편,"조회수 3,032회",2020. 9. 16.,댓글 20개,좋아요 109개,싫어요 6개
LG WING - Digital Unveiling 온라인 공개행사 축약 편,"조회수 2,399회",2020. 9. 15.,NaN,좋아요 68개,싫어요 2개
[일단클릭!] 지속가능경영 보고서가 뭐예요?,"조회수 24,533회",2020. 9. 15.,댓글 6개,좋아요 15개,싫어요 3개
LG WING - Unbox Therapy(언박스 테라피) 편,"조회수 10,646회",2020. 9. 15.,댓글 44개,좋아요 177개,싫어요 4개
