title_list,view,upload_date,comment,likes_num,unlikes_num
[SKmagic] SK매직 더블 플렉스 인덕션레인지!_40c,조회수 80회,2020. 9. 25.,NaN,좋아요 2개,싫어요 없음
"[SKmagic] 전격공개 더 넓고 더 다양하게, SK매직 더블 플렉스 인덕션레인지!",조회수 133회,2020. 9. 24.,NaN,좋아요 6개,싫어요 3개
[SKmagic] 알아서 다 관리 해주는 직수 정수기는?,"조회수 24,026회",2020. 9. 21.,NaN,좋아요 14개,싫어요 3개
[SKmagic] SK매직 스스로 직수정수기 30s,"조회수 3,804회",2020. 9. 8.,NaN,좋아요 32개,싫어요 33개
[SKmagic] SK매직 새로운 생활로 – ‘끊임없이’편 45s,"조회수 1,377회",2020. 9. 8.,NaN,좋아요 7개,싫어요 15개
[SKmagic] SK매직 새로운 생활로 – ‘남다르게’편 45s,"조회수 1,429회",2020. 9. 8.,NaN,좋아요 9개,싫어요 9개
[SKmagic] SK매직 스스로 자가관리 직수정수기로 위생 문제 한큐에 해결,"조회수 19,643회",2020. 9. 3.,NaN,좋아요 45개,싫어요 8개
[SKmagic] 플렉스 하이브리드 인덕션과 멀티 플렉스 광파 오븐으로 건강한 유럽식 집밥 만들기 (feat. 채낙영 셰프),"조회수 20,648회",2020. 8. 28.,NaN,좋아요 31개,싫어요 4개
[SKmagic] SK매직 코어 360º 공기청정기 홍보 영상,조회수 356회,2020. 8. 27.,NaN,좋아요 6개,싫어요 1개
[SKmagic] SK매직 코어 360º 공기청정기 펫필터 리뷰 영상,조회수 452회,2020. 8. 27.,NaN,좋아요 4개,싫어요 1개
"[SKmagic] SK매직 코어 360 공기청정기, 그 능력의 끝은?!","조회수 44,779회",2020. 8. 22.,NaN,좋아요 35개,싫어요 5개
[SKmagic] SK매직 스스로 직수정수기 필터 교체방법,"조회수 1,816회",2020. 8. 19.,NaN,좋아요 16개,싫어요 1개
"[SKmagic] 스스로 직수정수기 물이 안나오는 경우(자동 필터세척, 직수관 안심케어, 필터커버 장착, 급수잠금)","조회수 1,219회",2020. 8. 19.,NaN,좋아요 5개,싫어요 없음
"[SKmagic] 스스로 직수정수기 부가기능(LED밝기,음소거,냉온수 끔, 메모리 기능)","조회수 1,010회",2020. 8. 19.,NaN,좋아요 6개,싫어요 없음
[SKmagic] 매직라이브쇼 트리플 케어 식세기 편 스케치,조회수 423회,2020. 8. 18.,NaN,좋아요 2개,싫어요 없음
[SKmagic] 매직라이브쇼 트리플 케어 식세기 편 스케치,조회수 465회,2020. 8. 18.,NaN,좋아요 3개,싫어요 없음
[SKmagic] 전격공개 자가관리로 위생 걱정 없는 SK매직 스스로 직수정수기,"조회수 64,253회",2020. 8. 12.,NaN,좋아요 80개,싫어요 7개
[SKmagic] 얼음이 작거나 깨져서 나오나요? (슈퍼아이스),조회수 630회,2020. 8. 10.,NaN,좋아요 2개,싫어요 1개
[SKmagic] 얼음이 안 나오나요 ? (슈퍼아이스),조회수 544회,2020. 8. 10.,NaN,좋아요 3개,싫어요 없음
[SKmagic] 얼음이 작거나 깨져서 나오나요? (직수형 얼음정수기),조회수 575회,2020. 8. 10.,NaN,좋아요 2개,싫어요 없음
