title_list,view,upload_date,comment,likes_num,unlikes_num
"[Sony Alpha] 알파 프로페셔널 김주원 작가, 초광각의 완성 SEL1224GM",조회수 394회,2020. 9. 24.,NaN,좋아요 16개,싫어요 1개
[알파 랜선 세미나] 감성 가득! 셀프 웨딩 A to Z by 최현진 작가,"조회수 1,642회",실시간 스트리밍 시작일: 2020. 9. 22.,댓글 0개,좋아요 54개,싫어요 2개
[강의] WH-1000XM4 노트북에서 블루투스 헤드셋 사용하기,조회수 137회,2020. 9. 20.,NaN,좋아요 3개,싫어요 없음
[강의] WH-1000XM4 PC에서 블루투스 헤드셋 사용하기,조회수 112회,2020. 9. 20.,NaN,좋아요 4개,싫어요 없음
[Sony Alpha] 디지털 언패킹 α7C 원핸드 컴팩트 풀프레임 카메라,"조회수 6,889회",실시간 스트리밍 시작일: 2020. 9. 15.,댓글 38개,좋아요 127개,싫어요 12개
[Sony Alpha] α7C 소개 영상,조회수 835회,2020. 9. 14.,NaN,좋아요 15개,싫어요 1개
[강의] ZV-1 픽쳐 프로파일 이용하기,조회수 315회,2020. 9. 2.,NaN,좋아요 6개,싫어요 없음
[강의] ZV-1 마이스타일 기능 이용하기,조회수 176회,2020. 9. 2.,NaN,좋아요 3개,싫어요 없음
[Sony Alpha] α7S III 기능 소개 영상,"조회수 1,640회",2020. 8. 19.,NaN,좋아요 29개,싫어요 4개
[알파 랜선 세미나] 감성 가득! 셀프 웨딩 & 커플 사진 by 최현진 작가,"조회수 3,750회",실시간 스트리밍 시작일: 2020. 8. 19.,댓글 5개,좋아요 96개,싫어요 3개
[알파 랜선 세미나] 소니 사진가를 위한 캡쳐원 첫걸음 Part II by 김재민 PM,조회수 646회,2020. 8. 19.,댓글 8개,좋아요 26개,싫어요 1개
[알파 랜선 세미나]감성 가득! 우리집 홈카페 by 민지연 & 김현수 작가,조회수 652회,2020. 8. 6.,댓글 3개,좋아요 29개,싫어요 없음
[알파 랜선 세미나]스냅으로 완성하는 견생사진&플래시를 활용한 순간포착 by 염호영 작가,조회수 703회,2020. 8. 6.,댓글 2개,좋아요 14개,싫어요 없음
"[Sony Audio] #벗지않는헤드폰, WH-1000XM4 컨셉영상","조회수 2,689회",2020. 8. 6.,NaN,좋아요 45개,싫어요 2개
"[Sony Audio] #벗지않는헤드폰, WH-1000XM4 광고영상 (30초)","조회수 1,728회",2020. 8. 6.,NaN,좋아요 10개,싫어요 1개
[강의] ZV-1 수퍼 슬로모션 이용하기 (HFR 기능 설정하기),조회수 408회,2020. 8. 6.,NaN,좋아요 6개,싫어요 1개
[Sony Alpha] A7S III 디지털 언패킹 - 영상의 초격차,"조회수 8,510회",실시간 스트리밍 시작일: 2020. 7. 29.,댓글 32개,좋아요 147개,싫어요 6개
[강의] Imaging Edge - Viewer 활용 방법,조회수 805회,2020. 7. 29.,NaN,좋아요 3개,싫어요 1개
[강의] Imaging Edge - Remote 활용 방법,"조회수 1,126회",2020. 7. 29.,NaN,좋아요 4개,싫어요 없음
[강의] Imaging Edge - Edit 활용 방법,조회수 431회,2020. 7. 29.,NaN,좋아요 1개,싫어요 없음
"[Sony Alpha] 영상의 초격차, α7S III 의 모든 것","조회수 2,092회",2020. 7. 29.,NaN,좋아요 20개,싫어요 없음
[Sony Alpha] α7S III 샘플 영상 – Aerial Ver.,조회수 586회,2020. 7. 29.,NaN,좋아요 5개,싫어요 없음
[Sony Alpha] α7S III 샘플 영상 – Kitchen Ver.,조회수 648회,2020. 7. 29.,NaN,좋아요 9개,싫어요 1개
[Sony Alpha] α7S III 샘플 영상 – City Ver.,조회수 728회,2020. 7. 29.,NaN,좋아요 8개,싫어요 없음
[소니 ZV-1 앰배서더] ZENZ를 만나Z,"조회수 43,439회",2020. 7. 23.,NaN,좋아요 16개,싫어요 1개
[소니 ZV-1 앰배서더] ZENZ를 소개하Z,"조회수 52,287회",2020. 7. 23.,NaN,좋아요 15개,싫어요 없음
[소니 ZV-1 앰배서더] ZENZ 가 궁금하Z,"조회수 86,451회",2020. 7. 23.,NaN,좋아요 15개,싫어요 없음
"[Sony Audio] 강력한 베이스, 저음 괴물 무선이어폰 WF-XB700",조회수 448회,2020. 7. 22.,NaN,좋아요 10개,싫어요 없음
[Sony Alpha] SEL1224GM 디지털 언패킹 Part III - 촬영 테크닉 with 김주원 작가,"조회수 9,059회",실시간 스트리밍 시작일: 2020. 7. 22.,댓글 2개,좋아요 60개,싫어요 5개
[Sony Alpha] SEL1224GM 디지털 언패킹 Part II - 화질검증 with 김현수 작가,"조회수 18,009회",실시간 스트리밍 시작일: 2020. 7. 15.,댓글 11개,좋아요 104개,싫어요 12개
[알파 랜선 세미나] 소니 사진가를 위한 캡쳐원 첫걸음 Part I by 김재민 PM,"조회수 1,648회",2020. 7. 13.,댓글 6개,좋아요 42개,싫어요 1개
[알파 랜선 세미나] All about 조류 사진 by 조중래 작가,"조회수 2,690회",2020. 7. 10.,댓글 22개,좋아요 65개,싫어요 1개
[강의] Imaging Edge Mobile 설치방법,조회수 798회,2020. 7. 9.,NaN,좋아요 10개,싫어요 없음
[강의] Imaging Edge Desktop 설치방법,조회수 790회,2020. 7. 9.,NaN,좋아요 1개,싫어요 없음
[Sony Alpha] SEL1224GM 디지털 언패킹 Part I - 공식 프리뷰 with 권오철 작가,"조회수 44,944회",실시간 스트리밍 시작일: 2020. 7. 8.,댓글 9개,좋아요 137개,싫어요 36개
"[Sony Alpha] G Master, 시야의 한계를 뛰어넘다. FE 12-24mm F2.8 GM (SEL1224GM)","조회수 1,835회",2020. 7. 7.,NaN,좋아요 31개,싫어요 2개
[강의] WF-SP900 펌웨어 업데이트 하기,조회수 441회,2020. 7. 2.,NaN,좋아요 4개,싫어요 없음
[강의] WF-SP900 음량 조절하기,조회수 256회,2020. 7. 2.,NaN,좋아요 2개,싫어요 1개
[강의] WF-SP900 음량 제한 (AVLS) 하기,조회수 307회,2020. 7. 2.,NaN,좋아요 7개,싫어요 없음
[강의] WF-SP900 스마트폰과 블루투스 연결하기,조회수 337회,2020. 7. 1.,NaN,좋아요 2개,싫어요 1개
[알파 랜선 세미나] 은하수 촬영을 마스터하다 by 권오철 작가,"조회수 4,953회",2020. 7. 1.,댓글 10개,좋아요 166개,싫어요 1개
[알파 랜선 세미나] 우리 강아지 촬영은 우리집 스튜디오에서 by 염호영 작가,"조회수 1,406회",2020. 6. 24.,댓글 8개,좋아요 41개,싫어요 1개
[강의] WF-XB700 재설정Reset 및 초기화하기,조회수 409회,2020. 6. 16.,NaN,좋아요 8개,싫어요 없음
[강의] WF-XB700 블루투스 연결하기,"조회수 1,183회",2020. 6. 16.,NaN,좋아요 6개,싫어요 없음
[알파 랜선 세미나] 우리 아이 촬영은 우리집 스튜디오에서 by 김현수 & 민지연 작가,"조회수 2,183회",2020. 6. 11.,댓글 2개,좋아요 70개,싫어요 1개
[강의] WF-1000XM3 블루투스로 연결하여 멀티 페어링하기 (다중 연결하기),조회수 830회,2020. 5. 27.,NaN,좋아요 5개,싫어요 1개
[강의] WF-1000XM3 PC에서 블루투스 이어폰 사용하기 ( Window10 ),조회수 867회,2020. 5. 27.,NaN,좋아요 8개,싫어요 없음
[강의] WF-1000XM3 노트북에서 블루투스 이어폰 사용하기 ( Window10 ),조회수 724회,2020. 5. 27.,NaN,좋아요 5개,싫어요 1개
"[Sony ZV-1] 요즘 세대, 첫 번째 카메라 ZV-1, 컨셉 영상","조회수 2,351회",2020. 5. 26.,NaN,좋아요 21개,싫어요 6개
"[Sony ZV-1] 요즘 세대, 첫 번째 카메라 ZV-1, 제품소개 영상","조회수 125,010회",2020. 5. 26.,NaN,좋아요 329개,싫어요 118개
"[Sony ZV-1] 요즘 세대, 첫 번째 카메라 ZV-1, 제품리뷰","조회수 10,886회",2020. 5. 26.,NaN,좋아요 114개,싫어요 3개
"[Sony Alpha] 패션사진의 마스터 김태은 포토그래퍼, G MASTER를 말하다","조회수 1,235,238회",2020. 5. 17.,NaN,좋아요 334개,싫어요 123개
"[Sony Alpha] 천체사진의 마스터 권오철 포토그래퍼, G MASTER를 말하다","조회수 1,341,638회",2020. 5. 17.,NaN,좋아요 401개,싫어요 81개
[강의] 소니 제품 정품등록 안내,"조회수 4,897회",2020. 5. 11.,NaN,좋아요 4개,싫어요 1개
[강의] 소니 제품 정품등록 안내 (ALPHA LENS),"조회수 1,209회",2020. 5. 11.,NaN,좋아요 3개,싫어요 없음
[강의] 소니 제품 정품등록 안내 (ALPHA BODY),"조회수 2,705회",2020. 5. 11.,NaN,좋아요 1개,싫어요 1개
[강의] DSC-RX100M7 스마트폰으로 사진 전송하기 (NFC 이용하여 전송하기),"조회수 1,104회",2020. 4. 27.,NaN,좋아요 4개,싫어요 없음
[강의] DSC-RX100M7 스마트폰으로 사진 전송하기 (QR코드 이용하여 전송하기),조회수 935회,2020. 4. 27.,NaN,좋아요 10개,싫어요 없음
[강의] DSC-RX100M7 스마트폰으로 사진 전송하기 (일반 연결 방법으로 전송하기),조회수 540회,2020. 4. 27.,NaN,좋아요 2개,싫어요 1개
"[Sony Audio] 노이즈캔슬링으로 느끼는 몰입의 즐거움, WF-1000XM3 (full ver.)","조회수 7,170회",2020. 4. 26.,댓글 37개,좋아요 51개,싫어요 14개
"[Sony Audio] 노이즈캔슬링으로 느끼는 몰입의 즐거움, WF-1000XM3",조회수 871회,2020. 4. 26.,댓글 2개,좋아요 10개,싫어요 1개
[강의] DSC-RX100M7 스마트 리모콘 이용하기 (일반 연결하기),조회수 281회,2020. 4. 1.,NaN,좋아요 7개,싫어요 2개
[강의] DSC-RX100M7 스마트 리모콘 이용하기 (QR코드 이용하여 연결하기),조회수 853회,2020. 4. 1.,NaN,좋아요 3개,싫어요 없음
[강의] DSC-RX100M7 스마트 리모콘 이용하기 (NFC 이용하여 연결하기),"조회수 1,014회",2020. 4. 1.,NaN,좋아요 5개,싫어요 없음
