title_list,view,upload_date,comment,likes_num,unlikes_num
[FUSER] 퓨저 공식 트레일러 영상 Ⅲ,"조회수 1,911회",2020. 9. 14.,댓글 4개,좋아요 34개,싫어요 4개
[Lineage2M] Story of Lucien,"조회수 3,250,344회",2020. 7. 30.,댓글 28개,좋아요 235개,싫어요 122개
[Lineage2M] Story of Inorin,"조회수 3,069,624회",2020. 7. 30.,댓글 24개,좋아요 360개,싫어요 179개
"게이머, 운명을 거스르다! [인생은 퀘스트] EP.6","조회수 93,147회",2020. 7. 29.,댓글 18개,좋아요 26개,싫어요 2개
[리니지] 신규 클래스 창기사 시네마틱 영상,"조회수 23,582회",2020. 7. 21.,댓글 33개,좋아요 109개,싫어요 50개
게임에서 '새로운 나'를 발견하다 (feat. 서유리) [인생은 퀘스트] EP.5,"조회수 90,476회",2020. 7. 15.,댓글 9개,좋아요 71개,싫어요 3개
[팡야M] “리뉴얼이 아닌 리메이크” 2020 TRINITY WAVE 발표 영상,"조회수 7,846회",2020. 7. 2.,댓글 39개,좋아요 104개,싫어요 2개
[트릭스터M] 어드벤처 MMORPG 콘텐츠 비디오,"조회수 19,048회",2020. 7. 2.,댓글 98개,좋아요 209개,싫어요 10개
[팡야M] 글로벌 2천만의 추억,"조회수 4,394회",2020. 7. 2.,댓글 22개,좋아요 65개,싫어요 6개
[프로야구 H3] “야구 팬을 위한 야구 게임” 2020 TRINITY WAVE 발표 영상,"조회수 2,817회",2020. 7. 2.,댓글 7개,좋아요 10개,싫어요 7개
[FUSER] 퓨저 공식 트레일러 영상 Ⅱ,"조회수 1,971회",2020. 7. 1.,댓글 3개,좋아요 22개,싫어요 2개
"[2020 TRINITY WAVE] NC, NTREEV 신작 라인업 공개","조회수 4,435회",2020. 7. 1.,댓글 4개,좋아요 23개,싫어요 1개
[트릭스터M] 게임 프로모션 비디오,"조회수 88,234회",2020. 7. 1.,댓글 415개,"좋아요 1,024개",싫어요 17개
[팡야M] 시네마틱 트레일러 영상,"조회수 42,723회",2020. 7. 1.,댓글 112개,좋아요 750개,싫어요 16개
"[프로야구 H3] Keep Challenge, Make History","조회수 7,683회",2020. 7. 1.,댓글 20개,좋아요 46개,싫어요 36개
(ENG/THAI SUB) 밤만 되면 사라지는 에이핑크 오하영? [인생은 퀘스트([Life is a Quest])] EP.4,"조회수 438,872회",2020. 7. 1.,댓글 83개,"좋아요 1,571개",싫어요 7개
[Lineage M] 3주년 기념 고객 헌정 영상,"조회수 9,658회",2020. 6. 24.,댓글 14개,좋아요 54개,싫어요 12개
[TEASER] 게임만 못하는 게임 스트리머? (feat. 조매력) [인생은 퀘스트] EP.3,"조회수 39,668회",2020. 6. 21.,댓글 0개,좋아요 10개,싫어요 2개
게임만 못하는 게임 스트리머? (feat. 조매력) [인생은 퀘스트] EP.3,"조회수 127,929회",2020. 6. 17.,댓글 167개,"좋아요 1,010개",싫어요 24개
게임 퀘스트로 성적 레벨 UP! [인생은 퀘스트] EP.2,"조회수 66,023회",2020. 6. 3.,댓글 21개,좋아요 50개,싫어요 5개
[Lineage2M] Story of Marillion,"조회수 6,698회",2020. 5. 26.,댓글 25개,좋아요 65개,싫어요 6개
게임 음악? 엇나가지 말라고! [인생은 퀘스트] EP.1,"조회수 64,127회",2020. 5. 25.,댓글 42개,좋아요 165개,싫어요 7개
NC CI Design Renewal,"조회수 851,305회",2020. 5. 10.,댓글 20개,좋아요 59개,싫어요 11개
[NCSOFT] 아낌없이 알려주는 NC인턴 꿀팁 Q&A,"조회수 4,972회",2020. 5. 10.,댓글 14개,좋아요 78개,싫어요 5개
"[NCSOFT] 인턴 선배, NC를 말하다","조회수 101,692회",2020. 5. 10.,댓글 9개,좋아요 62개,싫어요 7개
[NCSOFT] 2020 NCSOFT 인턴 채용 안내,"조회수 4,655회",2020. 5. 10.,댓글 9개,좋아요 55개,싫어요 2개
[Lineage2M] Story of Bartz,"조회수 7,432회",2020. 4. 28.,댓글 17개,좋아요 57개,싫어요 16개
[Lineage2M] 크로니클 II. 베오라의 유적,"조회수 4,054회",2020. 4. 27.,댓글 15개,좋아요 34개,싫어요 4개
[MIXED DIMENSION #5] COGNITIVE SPACE 4K,"조회수 36,339회",2020. 4. 22.,댓글 2개,좋아요 12개,싫어요 3개
[MIXED DIMENSION #4] COEXISTENCE 4K,"조회수 25,077회",2020. 4. 22.,댓글 0개,좋아요 18개,싫어요 1개
[MIXED DIMENSION #3] EVOLUTION 4K,"조회수 30,185회",2020. 4. 22.,댓글 0개,좋아요 17개,싫어요 2개
[MIXED DIMENSION #2] THE ORIGIN 4K,"조회수 36,365회",2020. 4. 22.,댓글 1개,좋아요 17개,싫어요 2개
[MIXED DIMENSION #1] NC THE WORLD 4K,"조회수 26,661회",2020. 4. 22.,댓글 2개,좋아요 23개,싫어요 2개
[MIXED DIMENSION #0] HIGHLIGHT 4K,"조회수 327,213회",2020. 4. 22.,댓글 0개,좋아요 21개,싫어요 6개
[Lineage2M] Story of Frintessa,"조회수 10,684회",2020. 4. 21.,댓글 39개,좋아요 75개,싫어요 21개
[Lineage2M] The Call Of Destiny 2,"조회수 3,254회",2020. 4. 21.,댓글 7개,좋아요 59개,싫어요 5개
[MIXED DIMENSION #6] MAKING FILM,"조회수 101,510회",2020. 3. 9.,댓글 2개,좋아요 31개,싫어요 2개
[FUSER] 퓨저 공식 트레일러 영상 Ⅰ,"조회수 5,236회",2020. 3. 2.,댓글 7개,좋아요 51개,싫어요 12개
[B&S] 블레이드 & 소울 컴플리트 - 프론티어 월드,"조회수 2,923회",2020. 2. 24.,댓글 16개,좋아요 29개,싫어요 18개
[B&S] 블레이드 & 소울 컴플리트 – ‘프론티어 월드’ 직업 소개 영상,"조회수 2,566회",2020. 2. 24.,댓글 3개,좋아요 16개,싫어요 18개
[B&S] 블레이드 & 소울 컴플리트 – ‘프론티어 월드’ 변화된 전투 영상,"조회수 6,368회",2020. 2. 24.,댓글 10개,좋아요 9개,싫어요 30개
[B&S] 블레이드 & 소울 컴플리트 – ‘프론티어 월드’ 캐릭터(종족) 소개 영상,조회수 985회,2020. 2. 24.,댓글 0개,좋아요 10개,싫어요 6개
[B&S] 블레이드 & 소울 컴플리트 – 신규 직업 ‘천도사’ 시네마틱 트레일러,"조회수 4,196회",2020. 2. 24.,댓글 3개,좋아요 35개,싫어요 5개
[B&S] 블레이드 & 소울 컴플리트 - ‘프론티어 월드’ 신규 로그인 테마,"조회수 1,319회",2020. 2. 24.,댓글 2개,좋아요 23개,싫어요 3개
[B&S] 블레이드 & 소울 컴플리트 – ‘프론티어 월드’ 인게임 시네마틱 영상,"조회수 1,785회",2020. 2. 24.,댓글 0개,좋아요 15개,싫어요 4개
[B&S] 블레이드 & 소울 컴플리트 그래픽 리마스터 전경 영상,"조회수 1,018회",2020. 2. 24.,댓글 0개,좋아요 15개,싫어요 1개
[Lineage M] 리니지M 스페셜 무비 IX (full ver.),"조회수 17,872,191회",2020. 2. 6.,댓글 506개,좋아요 898개,싫어요 872개
[리니지] 리마스터 원 포인트 리뷰 영상,"조회수 3,124회",2020. 1. 28.,댓글 8개,좋아요 17개,싫어요 21개
[Lineage M] 리니지M 하이엘프: 요정의 역습 티징 영상,"조회수 88,237회",2020. 1. 22.,댓글 24개,좋아요 73개,싫어요 59개
[Lineage2M] 크로니클I. 상아탑의 현자들 - 스토리 시네마틱,"조회수 437,095회",2020. 1. 21.,댓글 31개,좋아요 103개,싫어요 17개
[Lineage2M] 스페셜 영상 VI (상아탑의 현자들),"조회수 24,009,719회",2020. 1. 21.,댓글 170개,"좋아요 2,687개","싫어요 1,357개"
[Lineage2M] 크로니클I. 상아탑의 현자들,"조회수 8,010,297회",2020. 1. 8.,댓글 69개,좋아요 439개,싫어요 199개
[TEASER] 아빠 내 방에서 뭐해??? [어라운드더게임] - EP6,"조회수 67,935회",2020. 1. 1.,댓글 0개,좋아요 19개,싫어요 2개
아빠 내 방에서 뭐해??? [어라운드더게임] - EP6,"조회수 56,728회",2020. 1. 1.,댓글 26개,좋아요 257개,싫어요 37개
숙적을 만나다(feat. GG) [어라운드더게임] - EP5,"조회수 14,356회",2019. 12. 25.,댓글 6개,좋아요 145개,싫어요 80개
[TEASER]숙적을 만나다(feat. GG) [어라운드더게임] - EP5,"조회수 30,438회",2019. 12. 25.,댓글 0개,좋아요 14개,싫어요 5개
[TEASER]수상한 예비신랑 [어라운드더게임] - EP4,"조회수 40,530회",2019. 12. 18.,댓글 0개,좋아요 24개,싫어요 8개
수상한 예비신랑 [어라운드더게임] - EP4,"조회수 46,491회",2019. 12. 18.,댓글 15개,좋아요 228개,싫어요 58개
[Lineage2M]리니지2M 아덴에 찾아온 첫 번째 크리스마스,"조회수 8,966회",2019. 12. 17.,댓글 56개,좋아요 77개,싫어요 25개
[TEASER] 군주를 찾아라(feat.혈맹이만든기적) [어라운드더게임] - EP3,"조회수 64,364회",2019. 12. 11.,댓글 0개,좋아요 19개,싫어요 5개
군주를 찾아라(feat.혈맹이만든기적) [어라운드더게임] - EP3,"조회수 14,344회",2019. 12. 11.,댓글 26개,좋아요 133개,싫어요 56개
[리니지2] 16주년 축하 인사 (강기영x박진주),"조회수 2,536회",2019. 12. 10.,댓글 6개,좋아요 29개,싫어요 7개
[리니지2] 16주년 “같이있는 가치” 펫업데이트 캠페인,"조회수 5,718,650회",2019. 12. 10.,댓글 43개,좋아요 134개,싫어요 29개
[TEASER] 게임 속 썸남의 정체는? [어라운드더게임] - EP2,"조회수 94,112회",2019. 12. 4.,댓글 2개,좋아요 33개,싫어요 8개
게임 속 썸남의 정체는? [어라운드더게임] - EP2,"조회수 115,649회",2019. 12. 4.,댓글 232개,좋아요 681개,싫어요 128개
[TEASER] 너 거기서 딱 기다려라 [어라운드더게임] - EP1,"조회수 94,152회",2019. 12. 3.,댓글 0개,좋아요 18개,싫어요 3개
[Lineage M] 리니지M 그랜드 크로스 시즌1 – 격돌의 탑,"조회수 2,497,088회",2019. 11. 28.,댓글 34개,좋아요 375개,싫어요 170개
너 거기서 딱 기다려라 [어라운드더게임] - EP1,"조회수 26,712회",2019. 11. 27.,댓글 46개,좋아요 245개,싫어요 86개
[Lineage M] 리니지M 그랜드 크로스 시즌1,"조회수 1,210,206회",2019. 11. 25.,댓글 53개,좋아요 308개,싫어요 180개
"[PURPLE] Ep. 2 : 리니지2M을 색다르게, 그 시작은 퍼플(PURPLE)","조회수 40,498회",2019. 11. 19.,댓글 69개,좋아요 154개,싫어요 43개
"[PURPLE] 리니지2M을 색다르게, 그 시작은 퍼플(PURPLE)","조회수 5,416회",2019. 11. 19.,댓글 10개,좋아요 65개,싫어요 11개
[Lineage2M] 리니지2M 신규 B.I 공개,"조회수 36,780회",2019. 11. 19.,댓글 24개,좋아요 107개,싫어요 43개
[Lineage2M] 리니지2M 스페셜 영상 IV (TJ’s NEWS),"조회수 16,679,658회",2019. 11. 19.,댓글 961개,"좋아요 5,523개","싫어요 4,085개"
[AION] 아트레이아 서버 티징 영상 - ‘대행자 편’,"조회수 3,957회",2019. 10. 23.,댓글 14개,좋아요 29개,싫어요 22개
[AION] 아트레이아 서버 티징 영상 - ‘용계이즈백 편’,"조회수 10,212회",2019. 10. 23.,댓글 26개,좋아요 91개,싫어요 53개
"[PURPLE] Ep. 1 : 리니지2M은, PURPLE과 함께","조회수 10,716회",2019. 10. 14.,댓글 8개,좋아요 84개,싫어요 18개
[Lineage2M] 리니지2M 스페셜 영상 Ⅲ,"조회수 20,593,603회",2019. 10. 14.,댓글 439개,"좋아요 6,493개","싫어요 3,642개"
[Lineage2M] 리니지2M 대표 캐릭터 – 하이라이트,"조회수 45,551회",2019. 10. 14.,댓글 37개,좋아요 126개,싫어요 15개
[Lineage2M] 리니지2M 대표 캐릭터 – 토르,"조회수 50,282회",2019. 10. 14.,댓글 34개,좋아요 100개,싫어요 21개
[Lineage2M] 리니지2M 대표 캐릭터 – 에이르나,"조회수 44,249회",2019. 10. 14.,댓글 38개,좋아요 201개,싫어요 20개
[Lineage2M] 리니지2M 대표 캐릭터 – 레지나,"조회수 38,710회",2019. 10. 14.,댓글 22개,좋아요 114개,싫어요 8개
[Lineage2M] 리니지2M 대표 캐릭터 – 고스트헌터,"조회수 29,131회",2019. 10. 14.,댓글 29개,좋아요 97개,싫어요 17개
[Lineage2M] 리니지2M 스페셜 영상 Ⅱ - 잊혀진 신전(30s),"조회수 5,830,063회",2019. 10. 7.,댓글 159개,"좋아요 2,193개","싫어요 1,213개"
[Lineage2M] 리니지2M 스페셜 영상 Ⅱ - 투렉 오크 야영지(30s),"조회수 496,242회",2019. 10. 7.,댓글 31개,좋아요 87개,싫어요 43개
[Lineage2M] 리니지2M 무기 소개 영상 IV – 포가튼 블레이드,"조회수 16,235회",2019. 10. 7.,댓글 21개,좋아요 91개,싫어요 8개
[Lineage2M] 리니지2M 무기 소개 영상 II 크리스탈 단검,"조회수 19,788회",2019. 10. 7.,댓글 13개,좋아요 74개,싫어요 9개
[Lineage2M] 리니지2M 무기 소개 영상 I - 싸울아비 장검,"조회수 23,903회",2019. 10. 7.,댓글 19개,좋아요 83개,싫어요 17개
[Lineage2M] 리니지2M 무기 소개 영상 III - 크리스탈 지팡이,"조회수 17,610회",2019. 10. 7.,댓글 12개,좋아요 68개,싫어요 2개
