title_list,view,upload_date,comment,likes_num,unlikes_num
피부가 건조한 날엔 니베아 클렌징워터 촉촉파랑,조회수 909회,2020. 9. 2.,댓글 15개,좋아요 148개,싫어요 없음
피부가 번들거리는 날엔 니베아 클렌징워터 뽀송초록,조회수 778회,2020. 9. 2.,댓글 11개,좋아요 146개,싫어요 없음
피부가 예민한 날엔 니베아 클렌징워터 순딩보라,조회수 659회,2020. 9. 2.,댓글 13개,좋아요 124개,싫어요 없음
풀메이크업한 날엔 니베아 클렌징워터 깔끔블랙,조회수 561회,2020. 9. 2.,댓글 14개,좋아요 109개,싫어요 없음
저자극 자연유래 미셀라입자! 니베아 센서티브 미셀라에어 클렌징워터,"조회수 86,361회",2020. 9. 2.,댓글 31개,좋아요 239개,싫어요 1개
오일의 세정력과 워터의 산뜻함을 한번에! 니베아 프로페셔널 미셀라에어 클렌징워터,"조회수 135,170회",2020. 9. 2.,댓글 27개,좋아요 176개,싫어요 없음
피부에 맞춘 저자극 니베아 클렌징워터,"조회수 220,949회",2020. 9. 2.,댓글 35개,좋아요 199개,싫어요 1개
"데오드란트, 냄새 심한 사람들이 쓰는 거 아니야?",조회수 632회,2020. 6. 23.,댓글 1개,좋아요 2개,싫어요 2개
땀 많이 안 나는데 데오드란트 써야 해?,조회수 480회,2020. 6. 23.,댓글 1개,좋아요 3개,싫어요 3개
저자극 스킨케어 쉐이빙 | 니베아 맨 센서티브,"조회수 1,597,088회",2020. 5. 22.,댓글 9개,좋아요 71개,싫어요 3개
저자극 스킨케어 쉐이빙 | 니베아 맨 센서티브,"조회수 1,109회",2020. 5. 22.,댓글 3개,좋아요 25개,싫어요 2개
"민감한 언더암을 위한 저자극 케어, 니베아 데오 밀크","조회수 1,030회",2020. 5. 13.,댓글 2개,좋아요 11개,싫어요 3개
데오드란트는 겨드랑이에만 쓴다?! 오해말고 데오해,"조회수 1,069,760회",2020. 5. 9.,댓글 4개,좋아요 13개,싫어요 4개
데오드란트는 땀 냄새 심한 사람들만 쓴다?! 오해말고 데오해,"조회수 1,004,586회",2020. 5. 9.,댓글 6개,좋아요 14개,싫어요 7개
데오드란트는 땀 많이 나는 사람들만 쓴다?! 오해말고 데오해,"조회수 1,821,138회",2020. 5. 9.,댓글 12개,좋아요 54개,싫어요 9개
"니베아가 데오드란트를 오해하고 있는 사람들에게, 오해말고 데오해!","조회수 825,052회",2020. 4. 30.,댓글 8개,좋아요 106개,싫어요 50개
매일매일 니베아 립케어 특별편 [15s],"조회수 1,026,825회",2019. 12. 1.,댓글 37개,좋아요 94개,싫어요 23개
"매일매일 니베아 립케어, 스피크업 편 [15s]","조회수 993,534회",2019. 11. 12.,댓글 20개,좋아요 71개,싫어요 23개
니베아 크림 겨울 동화 에디션,"조회수 1,292회",2019. 11. 7.,댓글 0개,좋아요 32개,싫어요 3개
꼼꼼한 화해 설문단이 평가한 SOS 케어 바디 로션,조회수 938회,2019. 11. 3.,댓글 0개,좋아요 8개,싫어요 3개
니베아 립케어 립 크레용_촉촉하게 그리다 편 [6s],"조회수 7,789회",2019. 10. 27.,댓글 5개,좋아요 87개,싫어요 14개
니베아 립케어 립 크레용_뷰르가즘 편 [6s],"조회수 10,552회",2019. 10. 27.,댓글 9개,좋아요 114개,싫어요 4개
"이제 잃어버리지 마, 니베아 립케어 홀더 에디션 편 [15s]","조회수 1,368,340회",2019. 10. 27.,댓글 748개,좋아요 426개,싫어요 665개
"매일매일 삐뻬빠 삡뻬뻐, 니베아 립케어 편 [15s]","조회수 15,060회",2019. 10. 27.,댓글 148개,좋아요 145개,싫어요 136개
"매일매일 삐뻬빠 삡뻬뻐, 니베아 립케어 편 [6s]","조회수 9,977회",2019. 10. 27.,댓글 31개,좋아요 91개,싫어요 61개
'오늘의 다은'이 말하는 니베아 바디 무스 로션,조회수 586회,2019. 10. 24.,댓글 0개,좋아요 6개,싫어요 1개
화해설문단 리뷰로 본 니베아 SOS 케어 바디로션,"조회수 1,452회",2019. 10. 22.,댓글 2개,좋아요 8개,싫어요 1개
