title_list,view,upload_date,comment,likes_num,unlikes_num
"[처음처럼X염따]어떤소주?처음처럼FLEX!_남사친.ver (30"")","조회수 373,279회",2020. 9. 21.,댓글 5개,좋아요 18개,싫어요 2개
"[처음처럼X염따]어떤소주?처음처럼FLEX!_여사친.ver (30"")","조회수 363,581회",2020. 9. 21.,댓글 15개,좋아요 19개,싫어요 없음
[처음처럼X염따] 처음처럼 FLEX 광고가 염따해버렸지 모얌 ~,"조회수 7,308,395회",2020. 8. 13.,댓글 74개,좋아요 215개,싫어요 114개
[1등 맛술 미림] 정호영 쉐프의 미림 쿠킹클래스 ‘고등어조림’편 for 초보주부,"조회수 3,073,051회",2020. 8. 9.,댓글 4개,좋아요 45개,싫어요 5개
[1등 맛술 미림] 정호영 쉐프의 미림 쿠킹클래스 ‘불고기덮밥’편 for 연인편,"조회수 1,287,213회",2020. 8. 9.,댓글 4개,좋아요 44개,싫어요 10개
[1등 맛술 미림] 정호영 쉐프의 미림 쿠킹클래스 ‘초간단 달걀찜’편 for 혼밥러,"조회수 2,612,290회",2020. 8. 9.,댓글 14개,좋아요 46개,싫어요 4개
[처음처럼X염따] 염따의 처음처럼FLEX_6초_ver2,"조회수 2,186회",2020. 4. 10.,댓글 5개,좋아요 15개,싫어요 8개
[처음처럼X염따] 염따의 처음처럼FLEX_6초_ver1,"조회수 2,356회",2020. 4. 10.,댓글 2개,좋아요 14개,싫어요 1개
[처음처럼X염따] 초심 잃은 염따의 처음처럼 FLEX 메이킹 SSUL,"조회수 2,574,021회",2020. 4. 8.,댓글 56개,좋아요 250개,싫어요 63개
"처음처럼 흔들어라 편(30"")","조회수 11,797회",2020. 1. 13.,댓글 56개,좋아요 204개,싫어요 12개
처음처럼 흔들어라 편 (15”),"조회수 126,592회",2020. 1. 12.,댓글 20개,좋아요 236개,싫어요 58개
처음처럼 흔들어라 편 (15”),"조회수 2,158,433회",2020. 1. 12.,댓글 8개,좋아요 111개,싫어요 2개
처음처럼 수지라벨 편 30”,"조회수 500,637회",2019. 12. 3.,댓글 65개,좋아요 759개,싫어요 157개
처음처럼 수지라벨 편 15”,"조회수 6,428회",2019. 12. 3.,댓글 5개,좋아요 113개,싫어요 7개
처음처럼 수지라벨 편 6”,"조회수 8,092회",2019. 12. 3.,댓글 12개,좋아요 172개,싫어요 3개
처음처럼 만드니까(30초),"조회수 1,391,845회",2019. 11. 5.,NaN,좋아요 80개,싫어요 161개
처음처럼 만드니까 (15초),"조회수 2,876회",2019. 11. 5.,NaN,좋아요 20개,싫어요 75개
[처음처럼&피플] EP.02 영업의 정석! 유팀장의 워킹맘 브이로그 VLOG,"조회수 700,620회",2019. 10. 24.,댓글 553개,NaN,NaN
"대한민국 소주 처음처럼(30"")","조회수 630,470회",2019. 10. 16.,NaN,좋아요 28개,싫어요 24개
[처음처럼&피플] EP.01 열혈영업! 윤상씨의 발로 뛰는 브이로그 VLOG,"조회수 360,601회",2019. 10. 14.,댓글 275개,좋아요 407개,싫어요 37개
