title_list,view,upload_date,comment,likes_num,unlikes_num
믿고 쓰는 IOPE 레티놀의 이야기,조회수 35회,2020. 9. 25.,댓글 0개,좋아요 1개,싫어요 없음
집요하게 파고드는 IOPE 레티놀의 주름 개선 효과,조회수 21회,2020. 9. 25.,댓글 0개,좋아요 1개,싫어요 없음
뷰티 인플루언서들의 은밀한 레티놀 토크!,조회수 85회,2020. 9. 24.,댓글 1개,좋아요 6개,싫어요 없음
IOPE 내돈내산 찐리뷰 BEST! 2화,"조회수 18,176회",2020. 9. 21.,댓글 5개,좋아요 29개,싫어요 12개
IOPE 내돈내산 찐리뷰 BEST! 1화,"조회수 31,588회",2020. 9. 21.,댓글 3개,좋아요 59개,싫어요 20개
IOPE 엄마의 주름없는 피부비결? 주름은 엄마말 들어!,조회수 77회,2020. 9. 21.,댓글 0개,좋아요 2개,싫어요 없음
IOPE 엄마의 주름없는 피부비결? 주름은 엄마말 들어!,조회수 72회,2020. 9. 21.,댓글 0개,좋아요 2개,싫어요 없음
2주 만에 주름잡는 레티놀의 모든 것,조회수 294회,2020. 9. 15.,댓글 0개,좋아요 20개,싫어요 없음
"피부 맞춤 연구소에서 얼굴 치수 잰 사연 [feat. 찍소, 자니]",조회수 138회,2020. 9. 15.,댓글 0개,좋아요 3개,싫어요 없음
아이오페 스템3 소프너&에멀전,조회수 256회,2020. 9. 14.,댓글 0개,좋아요 2개,싫어요 없음
세자매의 유전자의 비밀을 파헤치다,조회수 624회,실시간 스트리밍 시작일: 2020. 9. 13.,댓글 10개,좋아요 37개,싫어요 없음
20.09.14 IOPE SKIN WEEK GRAND OPEN!,조회수 234회,2020. 9. 11.,댓글 2개,좋아요 7개,싫어요 없음
11번가 V커머스 영상 편집본 (단초수),조회수 238회,2020. 9. 1.,댓글 1개,좋아요 3개,싫어요 없음
11번가 V커머스 영상 편집본 (장초수),조회수 184회,2020. 9. 1.,댓글 0개,좋아요 1개,싫어요 2개
아이오페 스템Ⅲ 앰플을 사용한 뒤 8대 피부 지표 개선 결과!,조회수 396회,2020. 8. 31.,댓글 0개,좋아요 7개,싫어요 없음
IOPE 내돈내산 찐리뷰 BEST! 1화,"조회수 128,899회",2020. 8. 31.,댓글 5개,좋아요 276개,싫어요 71개
