title_list,view,upload_date,comment,likes_num,unlikes_num
[ETUDE 에뛰드] '레더샵' 컬렉션으로 완성하는 가을 브라운 메이크업 룩🍂,"조회수 1,450회",2020. 9. 23.,댓글 17개,좋아요 91개,싫어요 1개
"[ETUDE 에뛰드] F/W 역대급 신상 뮬리로맨스로 하는 인간 핑크뮬리 메이크업 &전제품 리뷰 | 뮬리 로맨스 발색 , 알아서 그라데이션 되는 립스틱?",조회수 976회,2020. 9. 20.,댓글 16개,좋아요 47개,싫어요 3개
[ETUDE 에뛰드] 에뛰드 뮬리로맨스 컬렉션으로 인간 핑크뮬리 메이크업💖 플레이 컬러 아이즈 뮬리로맨스 리뷰/에뛰드 신상/가을 메이크업,조회수 889회,2020. 9. 20.,댓글 5개,좋아요 43개,싫어요 1개
[ETUDE 에뛰드] 핑크 뮬리의 로맨틱한 감성을 가득 담은 #뮬리로맨스 메이크업 룩💗,"조회수 3,342회",2020. 9. 3.,댓글 14개,좋아요 124개,싫어요 2개
[ETUDE 에뛰드] 뮬리로맨스 풀버젼 | 노을빛x핑크뮬리로 물든 ‘pink play list’,"조회수 2,898회",2020. 8. 31.,댓글 23개,좋아요 125개,싫어요 없음
"[ETUDE 에뛰드] 올 가을, 핑크뮬리로 분위기 장착! 뮬리로맨스 컬렉션","조회수 8,075회",2020. 8. 27.,댓글 44개,좋아요 244개,싫어요 없음
"[ETUDE 에뛰드] 얇은 유리막을 씌운 듯, 클라스가 다른 글라스 광 #글라스루즈틴트","조회수 2,093회",2020. 8. 23.,댓글 7개,좋아요 78개,싫어요 3개
[ETUDE 에뛰드] 귀여운데 제품력까지 다해! 디즈니 썸썸컬렉션 젤리무스틴트,"조회수 4,196회",2020. 7. 16.,댓글 3개,좋아요 117개,싫어요 1개
[ETUDE 에뛰드] 에뛰드 디즈니 썸썸 콜라보레이션! 어썸 파티 Disney Tsum Tsum Collection!💕,"조회수 23,967회",2020. 6. 22.,댓글 24개,좋아요 637개,싫어요 35개
[ETUDE 에뛰드] 파데장인'후니언'의 원.픽.파.데👍 묻어남NO! 신상파데 솔직리뷰💕,"조회수 4,306회",2020. 6. 3.,댓글 4개,좋아요 49개,싫어요 10개
