title_list,view,upload_date,comment,likes_num,unlikes_num
진정 에너지와 생기 에너지를 한 병에! 쑥떡 에센스 토너 ㅣAprilskin 에이프릴스킨,조회수 258회,2020. 7. 31.,댓글 0개,좋아요 1개,싫어요 없음
강력한 커버력과 수분감을 동시에 커버핏쿠션ㅣAprilskin 에이프릴스킨,조회수 389회,2020. 7. 22.,댓글 0개,좋아요 6개,싫어요 1개
마스크 묻어남 적은 밀착코팅 커버프루프쿠션 ㅣAprilskin 에이프릴스킨,조회수 385회,2020. 7. 21.,댓글 0개,좋아요 8개,싫어요 없음
레드벨벳 예리도 반한 강력한 커버력 매직스노우쿠션 ㅣAprilskin 에이프릴스킨,조회수 395회,2020. 7. 21.,댓글 0개,좋아요 11개,싫어요 없음
에이프릴스킨 X 레드벨벳 예리 화보 촬영 메이킹 필름 ㅣAprilskin 에이프릴스킨,"조회수 5,158회",2020. 7. 2.,댓글 88개,좋아요 506개,싫어요 6개
4년연속 여름철 품절 대란 유분잡는 픽싱쿠션 ㅣAprilskin 에이프릴스킨,"조회수 1,376회",2020. 6. 25.,댓글 0개,좋아요 8개,싫어요 없음
NO 협찬! 100% 블라인드 테스트! 2020 폼클렌저 등극한 캐롯 아크네 폼 클렌저,조회수 794회,2020. 4. 1.,댓글 0개,좋아요 6개,싫어요 2개
"베이스 장인이 알려주는 모공&요철 완벽 커버법 / 매직스노우쿠션, 페이스스타터ㅣAprilskin 에이프릴스킨","조회수 1,414회",2020. 3. 31.,댓글 0개,좋아요 12개,싫어요 2개
[에이프릴스킨 TOP 2 쿠션 본격 비교] 당신의 쿠션 취향은? 끝장 커버 VS 촉촉 커버 ㅣAprilskin 에이프릴스킨,"조회수 12,198회",2020. 3. 23.,댓글 2개,좋아요 34개,싫어요 2개
[마네킹 팩해주기 ASMR] 팩 뜯는 소리 팅클 대박! 리얼 카렌둘라 필오프팩 소리 모음ㅣAprilskin 에이프릴스킨,"조회수 1,214회",2020. 3. 13.,댓글 0개,좋아요 13개,싫어요 1개
병맛 남사친들이 더빙해주는 리얼 카렌둘라 필오프팩 각질 케어 루틴! ㅣAprilskin 에이프릴스킨,"조회수 4,449회",2020. 3. 6.,댓글 3개,좋아요 41개,싫어요 4개
당근 폼클렌저 거품 세정력 테스트 / 당근 라인 볼록잡티 케어 루틴 ㅣAprilskin 에이프릴스킨,"조회수 2,062회",2019. 12. 30.,댓글 1개,좋아요 20개,싫어요 2개
광고처럼 한번에 뜯는 법 알려줌!! 리얼 카렌둘라 필오프팩 200%활용법ㅣAprilskin 에이프릴스킨,"조회수 15,716회",2019. 12. 2.,댓글 32개,좋아요 108개,싫어요 3개
"수분,톤업,진정,광채를 쿠션 하나에 다 담았다! 바쁜 아침 퀵 광채 메이크업 가능!ㅣAprilskin 에이프릴스킨","조회수 6,232회",2019. 11. 21.,댓글 2개,좋아요 40개,싫어요 7개
23호 색 잘 뽑은 쿠션 추천! 자연스러운 꾸안꾸 메이크업은 초슬림쿠션 ㅣAprilskin 에이프릴스킨,"조회수 2,710회",2019. 11. 3.,댓글 0개,좋아요 8개,싫어요 1개
뷰티셀럽들 사이에서 소문난 커버핏 쿠션 입덕 포인트 소개ㅣAprilskin 에이프릴스킨,"조회수 2,412회",2019. 10. 21.,댓글 2개,좋아요 14개,싫어요 3개
촉촉 파데는 납작 파데 브러쉬로 발라야 광이 살아난다는데?ㅣAprilskin 에이프릴스킨,"조회수 1,671회",2019. 10. 10.,댓글 0개,좋아요 11개,싫어요 1개
곰손도 금손되는 파데 바르는 비법 언니가 알려준다! ㅣAprilskin 에이프릴스킨,"조회수 1,387회",2019. 9. 26.,댓글 1개,좋아요 10개,싫어요 2개
쌍둥이 자매끼리 팩 바르다가 싸울뻔한 이유 ㅣAprilskin 에이프릴스킨,"조회수 3,233회",2019. 9. 16.,댓글 4개,좋아요 37개,싫어요 1개
