title_list,view,upload_date,comment,likes_num,unlikes_num
[THE 맛있는 요기요] 갈비찜으로 갈비버거 만들기,조회수 142회,2020. 9. 25.,댓글 0개,좋아요 4개,싫어요 없음
요기요와 함께 떠나는 전국 밥상여행 #동해안 편!,조회수 505회,2020. 9. 23.,댓글 0개,좋아요 1개,싫어요 없음
요기요와 함께 떠나는 전국 밥상여행 #서해안 편!,조회수 498회,2020. 9. 23.,댓글 0개,좋아요 없음,싫어요 없음
요기요와 함께 떠나는 전국 밥상여행 #남해안 편!,조회수 480회,2020. 9. 23.,댓글 0개,좋아요 3개,싫어요 없음
[THE 맛있는 요기요] 마라샹궈 파스타 만들기,조회수 485회,2020. 9. 16.,댓글 0개,좋아요 2개,싫어요 1개
[THE 맛있는 요기요] 불고기로 부리또 만들기,조회수 655회,2020. 8. 27.,댓글 1개,좋아요 8개,싫어요 없음
[THE 맛있는 요기요] 도넛 배달로 만드는 에그인홀 프렌치토스트,조회수 824회,2020. 8. 19.,댓글 1개,좋아요 2개,싫어요 없음
[THE 맛있는 요기요] 갈비탕으로 만드는 태국식 갈비국수,조회수 655회,2020. 8. 10.,댓글 2개,좋아요 8개,싫어요 없음
#요기요바캉스 북극에서 먹는 팥빙수의 맛🍨,"조회수 2,418회",2020. 8. 9.,댓글 0개,좋아요 1개,싫어요 없음
파스타의 고향🍝 이탈리아에서 즐기는 #요기요바캉스,"조회수 3,327회",2020. 8. 9.,댓글 0개,좋아요 3개,싫어요 없음
#요기요바캉스 떠나자 지상낙원 하와이로🌴,"조회수 3,408회",2020. 8. 9.,댓글 1개,좋아요 2개,싫어요 없음
#요기요바캉스 태국에서 즐기는 여름휴가🍉,"조회수 3,446회",2020. 8. 9.,댓글 0개,좋아요 12개,싫어요 없음
[요기요] 올 여름 마지막 푸드 페스티벌! #슈퍼세일컬렉션,조회수 908회,2020. 8. 2.,댓글 3개,좋아요 2개,싫어요 7개
[요기요] 아침부터 야식까지 풀코스 할인! #슈퍼세일컬렉션,"조회수 1,209회",2020. 7. 26.,댓글 3개,좋아요 3개,싫어요 19개
[요기요] 100개 맛집 무한 할인 페스티벌! #슈퍼세일컬렉션,"조회수 1,451회",2020. 7. 19.,댓글 15개,좋아요 38개,싫어요 40개
[요기요] 100개 맛집 브랜드 할인 #슈퍼세일컬렉션,"조회수 2,496,751회",2020. 7. 12.,댓글 36개,좋아요 448개,싫어요 324개
[요기요] 한달 내내 100개 맛집 할인 페스티벌! #슈퍼세일컬렉션,"조회수 3,035회",2020. 7. 12.,댓글 2개,좋아요 41개,싫어요 40개
[THE 맛있는 요기요] 편의점 배달로 만드는 치킨소세지마요컵밥,조회수 578회,2020. 6. 22.,댓글 1개,좋아요 3개,싫어요 6개
[THE 맛있는 요기요] 편의점 배달로 만드는 태국식 족발덮밥!,조회수 354회,2020. 6. 19.,댓글 0개,좋아요 1개,싫어요 2개
[The 맛있는 요기요] 편의점 배달로 만드는 '삼겹살 된장 리조또',조회수 468회,2020. 6. 16.,댓글 0개,좋아요 1개,싫어요 2개
[편의점 배달백서] 요기요가 알려주는 편의점 꿀조합 레시피 3탄! 치빔면,"조회수 1,441회",2020. 5. 14.,댓글 1개,좋아요 15개,싫어요 5개
[편의점 배달백서] 요기요가 알려주는 편의점 꿀조합 레시피 2탄! 오렌지 요거트 주스,"조회수 1,170회",2020. 5. 6.,댓글 0개,좋아요 7개,싫어요 2개
[The 맛있는 요기요] 남은 보쌈의 화려한 변신! 요기요 '차슈덮밥' 레시피,"조회수 1,194회",2020. 5. 5.,댓글 1개,좋아요 6개,싫어요 1개
[편의점 배달백서] 요기요가 알려주는 편의점 꿀조합 레시피 1탄! 불닭버거🍔,"조회수 1,036회",2020. 4. 28.,댓글 5개,좋아요 7개,싫어요 2개
