title_list,view,upload_date,comment,likes_num,unlikes_num
[IONIQ x Wired] 모빌리티와 일상의 연결,"조회수 1,038회",2020. 9. 23.,댓글 7개,좋아요 11개,싫어요 2개
[IONIQ x Wired] IONIQ Concept Cabin,"조회수 1,336회",2020. 9. 23.,댓글 2개,좋아요 20개,싫어요 2개
[브랜드 필름] 전기차 미래 고객경험 'Style Set Free',조회수 955회,2020. 9. 23.,댓글 8개,좋아요 28개,싫어요 없음
"[나의 판타집] 양동근♥박가람 부부의 진솔한 이야기! 아이들이 그냥 ""아무 일 없이 크면 좋겠어""","조회수 1,613회",2020. 9. 17.,댓글 2개,좋아요 25개,싫어요 없음
"[매뉴얼] 당신의 STAY를 위한 투싼 기능 소개 ""요가"" 편(50s)","조회수 159,187회",2020. 9. 16.,댓글 18개,좋아요 43개,싫어요 7개
"[광고] 투싼 런칭 필름 ""요가룸"" 편 (30s)","조회수 189,792회",2020. 9. 15.,댓글 40개,좋아요 105개,싫어요 9개
"현대자동차 신형투싼 출시, 언베일링 필름 공개","조회수 5,044회",2020. 9. 15.,댓글 7개,좋아요 53개,싫어요 3개
"[매뉴얼] 당신의 STAY를 위한 투싼 기능 소개 ""오피스"" 편(50s)","조회수 164,837회",2020. 9. 14.,댓글 46개,좋아요 106개,싫어요 16개
"[매뉴얼] 당신의 STAY를 위한 투싼 기능 소개 ""DJ"" 편(50s)","조회수 260,394회",2020. 9. 14.,댓글 17개,좋아요 54개,싫어요 8개
"[매뉴얼] 당신의 STAY를 위한 투싼 기능 소개 ""영화관"" 편(50s)","조회수 79,141회",2020. 9. 14.,댓글 31개,좋아요 118개,싫어요 11개
"[매뉴얼] 당신의 STAY를 위한 투싼 기능 소개 ""만화방"" 편(50s)","조회수 234,608회",2020. 9. 14.,댓글 32개,좋아요 121개,싫어요 8개
"[광고] 투싼 런칭 필름 ""오피스"" 편 (30s)","조회수 193,670회",2020. 9. 14.,댓글 37개,좋아요 124개,싫어요 8개
"[광고] 투싼 런칭 필름 ""DJ 연습실"" 편 (30s)","조회수 425,387회",2020. 9. 14.,댓글 31개,좋아요 124개,싫어요 16개
"[광고] 투싼 런칭 필름 ""영화관"" 편 (30s)","조회수 310,320회",2020. 9. 14.,댓글 48개,좋아요 165개,싫어요 13개
"[광고] 투싼 런칭 필름 ""만화방"" 편 (30s)","조회수 353,816회",2020. 9. 14.,댓글 80개,좋아요 170개,싫어요 13개
올 뉴 투싼 공식 디자인 필름,"조회수 19,530회",2020. 9. 14.,댓글 51개,좋아요 163개,싫어요 5개
[최초 공개] 신형 투싼 World Premiere,"조회수 67,351회",2020. 9. 14.,댓글 262개,좋아요 469개,싫어요 42개
[광고] 투싼 프리런칭 (15'S),"조회수 946,955회",2020. 9. 3.,댓글 81개,좋아요 207개,싫어요 16개
"[브랜드필름] 현대자동차 신형 투싼 출시, 티저 공개","조회수 139,326회",2020. 9. 2.,댓글 82개,좋아요 297개,싫어요 14개
[전모델 오너입니다만? EP.05] 캠잘알 조로존은 더 뉴 싼타페에 진심인 편;; 그래서 뭐가 달라졌다고?! 전/격/분/석,"조회수 206,524회",2020. 9. 1.,댓글 21개,좋아요 79개,싫어요 12개
[IONIQ x BTS] IONIQ: I’m On it - (full.ver),"조회수 147,654회",2020. 9. 1.,댓글 764개,"좋아요 17,947개",싫어요 34개
[강제소집 Ep.3-4] '재훈&창훈' 여행 마지막 찐 속마음! 잊ㅈi못할 추억 함께ㅎH...★,"조회수 1,308회",2020. 8. 30.,댓글 4개,좋아요 10개,싫어요 1개
"[브랜드필름_예고편] 아반떼 하이브리드 vs N Line 극과 극 드라이빙 데이트 - ""데이트 위드 아반떼""","조회수 1,151,744회",2020. 8. 26.,댓글 14개,좋아요 124개,싫어요 47개
[강제소집 Ep.3-3] '재성&창훈' 2kg 초대형 토마호크 직화구이 실화?! (feat.우중캠핑),조회수 978회,2020. 8. 26.,댓글 3개,좋아요 13개,싫어요 3개
[카마스터 전시차 언박싱 EP.04_세종청사지점] 갑.분.눕. 방송중 지점장님의 이유있는 눕방(?) 전/격/공/개/,"조회수 206,136회",2020. 8. 24.,댓글 18개,좋아요 64개,싫어요 11개
[강제소집 Ep.3-2] 축구어부 '재성&창훈' 세상 가장 어설픈 낚시 대결ㅋㅋㅋ(feat. 노피쉬),"조회수 1,009회",2020. 8. 24.,댓글 4개,좋아요 17개,싫어요 없음
